chembl_id,pred_sig_0.1,pred_sig_0.2,pred_sig_0.3,pred_sig_0.4,pred_sig_0.5,pred_sig_0.6,pred_sig_0.7
CHEMBL2106552,1.0,1.0,1.0,1.0,1.0,1.0,Undefined
CHEMBL2106553,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2106554,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2106555,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106557,Undefined,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106558,0.0,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106559,Undefined,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106560,1.0,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106561,0.0,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106562,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2106564,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2106565,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2106567,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106568,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2106569,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2106570,0.0,0.0,0.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2106571,1.0,1.0,1.0,1.0,1.0,Undefined,Undefined
CHEMBL2106572,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2106573,Undefined,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106574,0.0,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106575,Undefined,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106578,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2106579,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2106580,0.0,0.0,0.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2106581,0.0,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106582,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
